
央视咪咕,#genre#
CCTV-1综合,http://hms2924nc1972666636.live.aikan.miguvideo.com/wh7f454c46tw2572214359_400624954/PLTV/88888888/224/3221231468/index.m3u8?icpid=88888888&RTS=1662425498&from=12&hms_devid=2924&online=1662425498
CCTV-1综合,http://hms2844nc1972666628.live.aikan.miguvideo.com/wh7f454c46tw1984267194_533879439/PLTV/88888888/224/3221231471/index.m3u8?icpid=88888888&RTS=1662476450&from=12&hms_devid=2844&online=1662476450
CCTV-1综合,http://hms2944nc1972666637.live.aikan.miguvideo.com/wh7f454c46tw2668107384_-47186254/PLTV/88888888/224/3221231528/index.m3u8?icpid=88888888&RTS=1662477134&from=12&hms_devid=2944&online=1662477134
CCTV-2财经,http://hms2844nc1972666627.live.aikan.miguvideo.com/wh7f454c46tw2618407420_887388577/PLTV/88888888/224/3221231678/index.m3u8?icpid=88888888&RTS=1662425544&from=12&ocs=2_117.148.129.14_80&hms_devid=2844&online=1662425544
CCTV-3综艺,http://hms2844nc1972666627.live.aikan.miguvideo.com/wh7f454c46tw2749735564_-1040776294/PLTV/88888888/224/3221231682/index.m3u8?icpid=88888888&RTS=1662425676&from=12&hms_devid=2844&online=1662425676,
CCTV-4中文国际,http://hms2904nc1972666634.live.aikan.miguvideo.com/wh7f454c46tw2946980324_1658155309/PLTV/88888888/224/3221231726/index.m3u8?icpid=88888888&RTS=1662425873&from=12&hms_devid=2904&online=1662425873
CCTV-5体育,http://hms2844nc1972666627.live.aikan.miguvideo.com/wh7f454c46tw3055866071_-1270518945/PLTV/88888888/224/3221231702/index.m3u8?icpid=88888888&RTS=1662425982&from=12&ocs=2_117.148.129.13_80&hms_devid=2844&online=1662425982
CCTV-5体育,http://hms2904nc1972666634.live.aikan.miguvideo.com/wh7f454c46tw3045418859_-777797220/PLTV/88888888/224/3221231510/index.m3u8?icpid=88888888&RTS=1662477511&from=12&hms_devid=2904&online=1662477511
CCTV-5+赛事,http://hms2944nc1972666637.live.aikan.miguvideo.com/wh7f454c46tw3099118162_-1330630565/PLTV/88888888/224/3221231459/index.m3u8?icpid=88888888&RTS=1662426025&from=12&hms_devid=2944&online=1662426025
CCTV-5+赛事,http://hms2904nc1972666634.live.aikan.miguvideo.com/wh7f454c46tw2545601891_-1571549090/PLTV/88888888/224/3221231459/index.m3u8?icpid=88888888&RTS=1662477011&from=12&ocs=2_117.148.129.13_80&hms_devid=2904&online=1662477011
CCTV-6电影,http://hms2944nc1972666637.live.aikan.miguvideo.com/wh7f454c46tw3138844971_2012622478/PLTV/88888888/224/3221231724/index.m3u8?icpid=88888888&RTS=1662426065&from=12&hms_devid=2944&online=1662426065
CCTV-7国防军事,http://hms2864nc1972666630.live.aikan.miguvideo.com/wh7f454c46tw3265215737_-1059325132/PLTV/88888888/224/3221231633/index.m3u8?icpid=88888888&RTS=1662426191&from=12&hms_devid=2864&online=1662426191
CCTV-8电视剧,http://hms2844nc1972666628.live.aikan.miguvideo.com/wh7f454c46tw3360788371_488382607/PLTV/88888888/224/3221231694/index.m3u8?icpid=88888888&RTS=1662426287&from=12&ocs=2_117.148.129.5_80&hms_devid=2844&online=1662426287
CCTV-8电视剧,http://hms2924nc1972666635.live.aikan.miguvideo.com/wh7f454c46tw3143906566_1176748663/PLTV/88888888/224/3221231501/index.m3u8?icpid=88888888&RTS=1662477610&from=12&hms_devid=2924&online=1662477610
CCTV-9纪录,http://hms2904nc1972666634.live.aikan.miguvideo.com/wh7f454c46tw3427802015_2041341171/PLTV/88888888/224/3221231697/index.m3u8?icpid=88888888&RTS=1662426354&from=12&hms_devid=2904&online=1662426354
CCTV-9纪录,http://hms2844nc1972666628.live.aikan.miguvideo.com/wh7f454c46tw3170441567_1808489205/PLTV/88888888/224/3221231516/index.m3u8?icpid=88888888&RTS=1662477636&from=12&hms_devid=2844&online=1662477636
CCTV-10科教,http://hms2844nc1972666627.live.aikan.miguvideo.com/wh7f454c46tw3456264084_1932422827/PLTV/88888888/224/3221231666/index.m3u8?icpid=88888888&RTS=1662426382&from=12&hms_devid=2844&online=1662426382
CCTV-11戏曲,http://hms2864nc1972666629.live.aikan.miguvideo.com/wh7f454c46tw3499368733_1380328720/PLTV/88888888/224/3221231711/index.m3u8?icpid=88888888&RTS=1662426425&from=12&hms_devid=2864&online=1662426425
CCTV-12社会与法,http://hms2844nc1972666627.live.aikan.miguvideo.com/wh7f454c46tw3530906826_-2103633223/PLTV/88888888/224/3221231660/index.m3u8?icpid=88888888&RTS=1662426457&from=12&hms_devid=2844&online=1662426457
CCTV-13新闻,http://hms2864nc1972666630.live.aikan.miguvideo.com/wh7f454c46tw4222164322_-2073197002/PLTV/88888888/224/3221231636/index.m3u8?icpid=88888888&RTS=1662474393&from=12&hms_devid=2864&online=1662474393
CCTV-14少儿,http://hms2884nc1972666631.live.aikan.miguvideo.com/wh7f454c46tw3635152183_-1172881624/PLTV/88888888/224/3221231648/index.m3u8?icpid=88888888&RTS=1662426561&from=12&hms_devid=2884&online=1662426561
CCTV-15音乐,http://hms2864nc1972666630.live.aikan.miguvideo.com/wh7f454c46tw3661212880_-957554200/PLTV/88888888/224/3221231693/index.m3u8?icpid=88888888&RTS=1662426587&from=12&hms_devid=2864&online=1662426587
